Title,Company,Experience,Salary,Location,Posted,Applications,Role,Employment_type,Education,Skills
Data Software Engineer,Selector Ai,5 - 8 years,Not Disclosed,Bengaluru, 10 days ago,22," Full Time, Permanent", Data Platform Engineer," 
UG: Any Graduate
PG: Any Postgraduate","SQL queries, Coding, GCP, Cloud, Presales, Workflow, Data analytics, Operations, AWS, Python"
Google Kubenates Engine Developer,Molecular Connections,4 - 6 years,Not Disclosed,Bengaluru, 5 days ago,99," Full Time, Permanent", Back End Developer," 
UG: Any Graduate
PG: Any Postgraduate","customer service orientation, customer service, bigquery, software development, as, hive, kubernetes, as400, sql, plsql, java, data science, gcp, spark, mysql, html, hadoop, big data, digital transformation, python, oracle, javascript, sql server, quality assurance, aws"
Software Engineer- Search & AI,Apple,5 - 10 years,Not Disclosed,Bengaluru, 30+ days ago,161," Full Time, Permanent", Full Stack Developer," 
UG: Any Graduate
PG: Any Postgraduate","Computer science, data science, Data modeling, GCP, Machine learning, Information retrieval, big data, AWS, Data warehousing, Enterprise software"
Full Stack Developer,Gemini Solutions,2 - 4 years,Not Disclosed,"Panchkula, Gurugram, Bengaluru", 5 days ago,1557," Full Time, Permanent", Full Stack Developer," 
UG: B.Tech/B.E. in Any Specialization, B.Sc in Any Specialization
PG: MCA in Any Specialization, M.Tech in Any Specialization, MS/M.Sc(Science) in Any Specialization
Doctorate: Doctorate Not Required","Full Stack Development, Azure, PostgreSQL, GitHub, Node.JS, Mongo DB, React, Angular, Google Cloud, MySQL, CI/CD, AWS, GitLab"
Full Stack Developer,Codvo,5 - 7 years,Not Disclosed,"Pune, Chennai, Bengaluru", 7 days ago,176," Full Time, Permanent", Full Stack Developer," 
UG: B.Tech/B.E. in Any Specialization, BCA in Any Specialization
PG: M.Tech in Any Specialization, MCA in Any Specialization
Doctorate: Doctorate Not Required","software engineering, Azure, PostgreSQL, Testing Frameworks, Jmeter, Node.js, React, SQL, NoSQL, Git, selenium, GCP, JavaScript, MongoDB, RESTful APIs, AWS, Python"
Full Stack Developer,Tekone It Services,4 - 6 years,Not Disclosed,Vijayawada, 5 days ago,180," Full Time, Permanent", Full Stack Developer," 
UG: B.Tech/B.E. in Any Specialization
PG: Any Postgraduate","AWS, Java, NoSQL, GCP, Node.js, React.js, Angular, SQL"
Full-Stack Developer,Pvalue Solutions,3 - 7 years,Not Disclosed,Bengaluru, 7 days ago,141," Full Time, Permanent", Full Stack Developer," 
UG: Any Graduate
PG: Any Postgraduate","css, bitbucket, react.js, java, git, ruby rails, postgresql, gcp, software development methodologies, html, mysql, mongodb, programming, communication skills, database management system, python, github, microsoft azure, ruby, angular, node.js, django, scrum, agile, aws"
Fullstack Developer,Nuvento Systems,3 - 8 years,Not Disclosed,"Hyderabad, Navi Mumbai", 13 days ago,702," Full Time, Temporary/Contractual", Full Stack Developer," 
UG: B.Tech/B.E. in Any Specialization",".Net Core, Cloud, React.Js, Microservices, Rest Web Api, Azure, GCP, DotNet Core, AWS"
Fullstack Developer,Bitpastel,0 - 3 years,Not Disclosed,Kolkata, 10 days ago,1821," Full Time, Permanent", Full Stack Developer," 
UG: Any Graduate","PHP, Node.Js, Python, GCP, Azure Cloud, Microsoft Azure, AWS"
Fullstack Developer,Uplers,3 - 6 years,Not Disclosed,"Thane, Mumbai (All Areas)", 12 days ago,337," Full Time, Permanent", Full Stack Developer," 
UG: Any Graduate","Node Js, React Js, Python, Python/Golang, GCP, Cloud Platform, Ruby, AWS, Elixir, React / Golang"
